index,Vessel_Type,Vessel_name,Dwt/Unit,Blt.,Yard,Date,Price_$m.,Buyers
0,"Tanker D/Hull",Nautilus*,"307,284",2006,"Dalian Shipbuilding",05-Jan,"5 yrs BB $22kpd 186","Clients of Wafra Capital Partners"
1,"Tanker D/Hull",Navarin*,"307,284",2007,"Dalian Shipbuilding",05-Jan,#,"Clients of Wafra Capital Partners"
2,"Tanker D/Hull",Neptun*,"307,284",2007,"Dalian Shipbuilding",05-Jan,#,"Clients of Wafra Capital Partners"
3,"Tanker D/Hull",Nucleus*,"307,284",2007,"Dalian Shipbuilding",05-Jan,#,"Clients of Wafra Capital Partners"
4,"Tanker D/Hull",Eugenie*,"157,672",2010,"Samsung HI",04-Jan,"around 74","Clients of Great Eastern"
5,"Tanker D/Hull",Devon*,"157,672",2011,"Samsung HI",04-Jan,#,"Clients of Great Eastern"
6,"Tanker D/Hull","Athens Star","73,869",2005,"New Century SB",23-Dec,"region 13","Clients of Valloeby Shipping"
7,"Tanker D/Hull","Universal Brave","301,242",1997,"Hyundai HI (Ulsan)",21-Dec,undisclosed,"Far Eastern interests"
8,"Tanker D/Hull","Mermaid Express","45,763",2002,"Minami Nippon",20-Dec,"low 9","Clients of Oceangold"
9,"Tanker D/Hull","Aegean Pride","105,302",1999,"Samsung HI",20-Dec,10.9,"Far Eastern interests"
10,"Tanker D/Hull","Perseus Trader","300,100",2003,"Universal SB (Tsu)",16-Dec,undisclosed,"Clients of New Shipping"
11,"Tanker D/Hull","Semua Selamat","8,008",2008,"Yangzhou Kejin SY",16-Dec,undis/auction,"Undisclosed interests"
12,"Tanker D/Hull",Hangzhou,"319,725",2016,"Jinhai Heavy Ind",15-Dec,60,"Clients of New Shipping"
13,"TankChem IMO II","Ionian Trader*","5,517",2008,"Celik Tekne",04-Jan,undisclosed,"Clients of Atlantis Tankers"
14,"TankChem IMO II","Lydian Trader*","5,504",2008,"Celik Tekne",04-Jan,#,"Clients of Atlantis Tankers"
15,"TankChem IMO II/III","Crystal Nord","8,104",1994,Boelwerf,04-Jan,3.5,"Undisclosed interests"
16,"TankChem IMO II",Tintomara,"46,764",2003,"Brod. Trogir",15-Dec,13,"Undisclosed interests"
17,"Ro-Ro/Pass 154 pass.","Luigi PA","10,300",1975,Ankerlokken,16-Dec,undisclosed,"Turkish interests"
18,"Ro-Ro 100 cars.",Transreel,"11,396",1987,"Korea S.B.",31-Dec,undisclosed,"Clients of Transprocon"
19,"Pass./Car 890 pass.","Highspeed 6",711,2000,"Incat Tasmania",04-Jan,undisclosed,"Clients of Naviera Armas"
20,"Pass./Car 800 pass.",Regula,880,1971,"Meyer Werft",31-Dec,EUR4,"Port of Tallinn"
21,"Pass. 354 pass.","Termoli Jet",50,2002,"Kv. Fjellstrand",15-Dec,"at auction EUR1.6","Clients of KS Shipping"
22,"Offshore Research","Deep Investigator","2,690",1986,"Ulstein Ulsteinvik",05-Jan,undisclosed,"Undisclosed interests"
23,"Offshore ROV","Deep Wave","4,500",2002,"Havyard Leirvik",05-Jan,undisclosed,"Undisclosed interests"
24,"Offshore PSV","Edda Frigg","3,974",1997,"Brattvaag Skips",05-Jan,undisclosed,"Danish interests"
25,"Offshore Accommodation","Dan Swift",291,1985,Frederikshavn,04-Jan,undisclosed,"Clients of Prosafe SE"
26,"Gas C'rier 5,012 cu.m","Gas Nuri Arizona","5,590",1995,"Kitanihon Zosen",14-Dec,3.3,"Clients of Kasco"
27,"Dry MPP 150 teu.","Tai An Sheng","5,345",2010,"Changjiang SY",14-Dec,"at auction RMB9.35","Chinese interests"
28,"Dry Genl Gearless","Hong Xiang 79","6,727",2009,"Zhejiang Hongde",04-Jan,"at auction RMB12.02","Chinese interests"
29,"Dry Genl Gearless","Taiyoung Sun","3,739",1992,"Dae Sun Shipbuilding",26-Dec,undisclosed,"Undisclosed interests"
30,"Container 1,085 teu.","E.R. Visby","14,236",2012,"Nanjing Yichun",23-Dec,7.8,"Undisclosed interests"
31,"Container 2,456 teu.","Wehr Bille","33,650",2002,Volkswerft,21-Dec,"region 3.88","Chinese interests"
32,"Container 1,645 teu.","RT Dagr","20,976",1998,"Thyssen Nordsee",15-Dec,undisclosed,"Clients of Euroseas Ltd"
33,"Container 1,756 teu.","N/B ZHEJIANG OUHUA S.B.  ZHOUSHAN","23,673",2017,"Zhejiang Ouhua SB",14-Dec,undisclosed,"Clients of CNAN Group"
34,"Container 600 teu.","Tai Jia Sheng","5,400",2010,"CSC Qingshan SY",14-Dec,"at auction RMB8.4","Chinese interests"
35,"Container 1,700 teu.","N/B RESALE HULL 487","21,000",2017,"Huangpu Wenchong",14-Dec,undisclosed,"Clients of CNAN Group"
36,"Bulk 4x30t cr.","New Caledonia Maru","58,086",2013,"Tsuneishi Cebu",06-Jan,"high 14","Undisclosed interests"
37,"Bulk 4x30t cr.","Eternal Ocean","33,382",2013,"Shin Kurushima",04-Jan,13,"Undisclosed interests"
38,"Bulk Str. Hvy.","Red Jasmine","76,596",2006,"Imabari SB Marugame",04-Jan,"region 8","Greek interests"
39,"Bulk 4x25t cr.","Zhi Jing","33,076",2008,"Zhoushan Wuzhou",04-Jan,"region 4","Chinese interests"
40,"Bulk 4x30t cr.","Azure Bay","31,700",2005,"Saiki Hvy. Ind.",04-Jan,"high 6","Undisclosed interests"
41,"Bulk 4x30.5t cr.","Medi Imabari","56,047",2008,"Mitsui SB (Tamano)",04-Jan,10.1,"Clients of Franco Compania Naviera"
42,"Bulk 4x30.5t cr.","Maple Fortitude","32,491",2011,"Taizhou Maple Leaf",04-Jan,undisclosed,"Chinese interests"
43,"Bulk 4x30t cr.","Prokopis K","24,842",1995,"Naikai Zosen Setoda",04-Jan,2.3,"Undisclosed interests"
44,"Bulk Gearless","Shun Chang Hong","12,031",2012,"Linhai Hongzhou SB",28-Dec,"at auction RMB12.16","Chinese interests"
45,"Bulk 4x30t cr.","Nord Discovery","52,454",2006,"Tsuneishi Cebu",21-Dec,"region 7","Taiwanese interests"
46,"Bulk 4x30t cr.","Genco Wisdom*","47,180",1997,"Oshima Shipbuilding",20-Dec,3.15,"Chinese interests"
47,"Bulk 4x30t cr.","Genco Prosperity*","47,180",1997,"Oshima Shipbuilding",20-Dec,3.15,"Chinese interests"
48,"Bulk Gearless","Maverick Gunner","80,717",2010,"STX SB (Jinhae)",20-Dec,"at auction 13.25","Clients of Empire Bulkers"
49,"Bulk 4x30t cr.","Western Tokyo","55,831",2012,I.H.I.,20-Dec,14.25,"European interests"
50,"Bulk 4x30.5t cr.","Clipper Lotus","28,321",2010,"I-S Shipyard",20-Dec,"mid 7","Undisclosed interests"
51,"Bulk Str. Hvy.",Redwing,"53,410",2007,"Chengxi Shipyard",20-Dec,"region 6","Undisclosed interests"
52,"Bulk Gearless","N/B RESALE HULL 1142*","81,800",2017,"Jiangsu New YZJ",16-Dec,20.4,"Clients of Evalend"
53,"Bulk Gearless","N/B RESALE HULL 1144*","81,800",2017,"Jiangsu New YZJ",16-Dec,20.4,"Clients of Evalend"
54,"Bulk Gearless","N/B RESALE HULL 1145*","81,800",2017,"Jiangsu New YZJ",16-Dec,20.4,"Clients of Evalend"
55,"Bulk Str. Hvy.","Bulk Hong Kong","180,230",2006,"Imabari SB Saijo",16-Dec,14.25,"Greek interests"
56,"Bulk Str. Hvy.",Baofeng,"46,634",1997,"Mitsui SB (Tamano)",16-Dec,2.5,"Undisclosed interests"
57,"Bulk 4x30t cr.","Mardi Gras","28,399",2006,"Shimanami Shipyard",16-Dec,6.4,"Vietnamese interests"
58,"Bulk 4x36t cr.",Portoroz,"56,632",2011,"Jiangsu Hantong HI",15-Dec,9.5,"Clients of P&P Shipping"
59,"Bulk 4x30t cr.","Pacific Laurel","58,097",2012,"Tsuneishi Zhoushan",15-Dec,15.3,"Undisclosed interests"
60,"Bulk 4x30.5t cr.","Indigo Spera","56,121",2011,"Mitsui SB (Chiba)",15-Dec,undisclosed,"Clients of BW Dry Cargo"
61,"Bulk Str. Hvy.","Silver Freedom","76,453",2004,"Tsuneishi Zosen",15-Dec,7.5,"Greek interests"
62,"Bulk Str. Hvy.",Marichristina,"74,410",2001,"Daewoo (DSME)",14-Dec,5.1,"Greek interests"
